,hero_id,level,ability_id,rate
0,106,1,ember_spirit_sleight_of_fist,68.46
1,106,1,ember_spirit_flame_guard,27.87
2,106,1,ember_spirit_searing_chains,3.66
3,106,2,ember_spirit_searing_chains,48.73
4,106,2,ember_spirit_flame_guard,19.23
5,106,2,ember_spirit_sleight_of_fist,32.04
6,106,3,ember_spirit_sleight_of_fist,61.85
7,106,3,ember_spirit_flame_guard,33.57
8,106,3,ember_spirit_searing_chains,4.58
9,106,4,ember_spirit_searing_chains,66.63
10,106,4,ember_spirit_flame_guard,11.39
11,106,4,ember_spirit_sleight_of_fist,21.97
12,106,5,ember_spirit_sleight_of_fist,74.67
13,106,5,ember_spirit_flame_guard,21.77
14,106,5,ember_spirit_searing_chains,3.36
15,106,5,ember_spirit_fire_remnant,0.1
16,106,6,ember_spirit_fire_remnant,99.19
17,106,6,ember_spirit_searing_chains,0.31
18,106,6,ember_spirit_flame_guard,0.2
19,106,6,ember_spirit_sleight_of_fist,0.1
20,106,7,ember_spirit_sleight_of_fist,77.82
21,106,7,ember_spirit_flame_guard,16.28
22,106,7,ember_spirit_searing_chains,5.19
23,106,7,ember_spirit_fire_remnant,0.41
24,106,8,ember_spirit_searing_chains,63.38
25,106,8,ember_spirit_sleight_of_fist,24.92
26,106,8,ember_spirit_flame_guard,11.09
27,106,8,ember_spirit_fire_remnant,0.1
28,106,9,ember_spirit_searing_chains,64.9
29,106,9,ember_spirit_sleight_of_fist,18.92
30,106,9,ember_spirit_flame_guard,15.56
31,106,9,right,0.1
32,106,10,right,12.92
33,106,10,left,1.63
34,106,10,ember_spirit_sleight_of_fist,11.5
35,106,10,ember_spirit_searing_chains,30.42
36,106,10,ember_spirit_flame_guard,43.03
37,106,11,ember_spirit_flame_guard,50.05
38,106,11,ember_spirit_sleight_of_fist,3.66
39,106,11,ember_spirit_searing_chains,37.54
40,106,11,left,3.46
41,106,11,right,3.87
42,106,11,ember_spirit_fire_remnant,0.1
43,106,12,ember_spirit_fire_remnant,31.84
44,106,12,ember_spirit_searing_chains,22.18
45,106,12,ember_spirit_flame_guard,41.81
46,106,12,ember_spirit_sleight_of_fist,1.22
47,106,12,right,0.41
48,106,12,left,0.51
49,106,13,ember_spirit_flame_guard,59.92
50,106,13,ember_spirit_searing_chains,27.47
51,106,13,ember_spirit_fire_remnant,3.05
52,106,13,ember_spirit_sleight_of_fist,1.42
53,106,13,right,2.14
54,106,13,left,1.73
55,106,13,special_bonus_attributes,0.1
56,106,14,ember_spirit_flame_guard,26.14
57,106,14,ember_spirit_fire_remnant,13.53
58,106,14,left,29.7
59,106,14,ember_spirit_searing_chains,14.34
60,106,14,right,7.43
61,106,14,ember_spirit_sleight_of_fist,0.2
62,106,14,special_bonus_attributes,0.31
63,106,15,ember_spirit_flame_guard,2.54
64,106,15,left,40.49
65,106,15,right,38.66
66,106,15,ember_spirit_searing_chains,1.73
67,106,15,ember_spirit_fire_remnant,3.66
68,106,15,special_bonus_attributes,0.1
69,106,15,ember_spirit_sleight_of_fist,0.1
70,106,16,right,12.82
71,106,16,ember_spirit_fire_remnant,36.11
72,106,16,left,21.16
73,106,16,ember_spirit_flame_guard,7.43
74,106,16,ember_spirit_searing_chains,2.34
75,106,16,special_bonus_attributes,1.53
76,106,16,ember_spirit_sleight_of_fist,0.2
77,106,17,ember_spirit_fire_remnant,65.31
78,106,17,special_bonus_attributes,1.42
79,106,17,right,0.31
80,106,17,left,0.31
81,106,18,left,34.49
82,106,18,right,11.39
83,106,18,special_bonus_attributes,1.22
84,106,18,ember_spirit_fire_remnant,0.71
85,106,19,right,13.12
86,106,19,left,1.42
87,106,19,special_bonus_attributes,1.22
88,106,20,left,2.54
